mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.06487774848937988,0.015462779508822706,0.0054160356521606445,0.003497321778627642,1,5,10,"{'max_depth': 1, 'min_samples_leaf': 5, 'n_estimators': 10}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5726872246696035,0.5594713656387665,0.5619469026548672,0.5575221238938053,0.5688888888888889,0.5688888888888889,0.5777777777777777,0.5664459161147903,0.005728573598203166,29,0.5675012272950417,0.5665193912616593,0.5665193912616593,0.5682041216879293,0.5716388616290481,0.5698871996076508,0.5713585090730751,0.571078431372549,0.5661764705882353,0.5681372549019608,0.5687020858678808,0.0020161561530694107
0.22474968433380127,0.0521950170291148,0.008873987197875976,0.003910786811800738,1,5,50,"{'max_depth': 1, 'min_samples_leaf': 5, 'n_estimators': 50}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5688888888888889,0.5688888888888889,0.5688888888888889,0.5655629139072847,0.0034776282468650327,35,0.5679921453117329,0.5665193912616593,0.5675012272950417,0.5677134445534838,0.5682041216879293,0.5703776360961256,0.5708680725846003,0.5696078431372549,0.5661764705882353,0.5661764705882353,0.5681136823104299,0.0015984446657625986
0.36139559745788574,0.04942263321856644,0.014869070053100586,0.004030612159322514,1,5,100,"{'max_depth': 1, 'min_samples_leaf': 5, 'n_estimators': 100}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5638766519823789,0.5638766519823789,0.5619469026548672,0.5619469026548672,0.5688888888888889,0.5688888888888889,0.5688888888888889,0.5655629139072847,0.0025478308062636492,35,0.5679921453117329,0.5665193912616593,0.5675012272950417,0.5667320902845927,0.5672227674190383,0.5679254536537518,0.5684158901422266,0.5691176470588235,0.5676470588235294,0.5661764705882353,0.5675250141838631,0.0008528828832417282
0.5962965011596679,0.026470013808536336,0.03365809917449951,0.012213200298374052,1,5,200,"{'max_depth': 1, 'min_samples_leaf': 5, 'n_estimators': 200}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5688888888888889,0.5688888888888889,0.5688888888888889,0.5655629139072847,0.0034776282468650327,35,0.5670103092783505,0.5665193912616593,0.5665193912616593,0.5667320902845927,0.5682041216879293,0.5674350171652771,0.5703776360961256,0.5696078431372549,0.5681372549019608,0.5661764705882353,0.5676719525663045,0.0013356129194425149
1.4523339986801147,0.10477327061418631,0.06641666889190674,0.004890670904499551,1,5,500,"{'max_depth': 1, 'min_samples_leaf': 5, 'n_estimators': 500}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5644444444444444,0.5688888888888889,0.5733333333333334,0.5655629139072847,0.004002293402409885,35,0.5675012272950417,0.5665193912616593,0.5675012272950417,0.5677134445534838,0.5672227674190383,0.5684158901422266,0.5703776360961256,0.5676470588235294,0.567156862745098,0.567156862745098,0.5677212368376343,0.000998564595389043
0.040645933151245116,0.013809445913266358,0.002434062957763672,0.0003654008121380059,1,10,10,"{'max_depth': 1, 'min_samples_leaf': 10, 'n_estimators': 10}",0.5657894736842105,0.5701754385964912,0.5657894736842105,0.5726872246696035,0.5638766519823789,0.5619469026548672,0.5619469026548672,0.5688888888888889,0.5688888888888889,0.5777777777777777,0.5677704194260486,0.004720087549587534,15,0.570446735395189,0.5670103092783505,0.5665193912616593,0.5691854759568205,0.5682041216879293,0.5679254536537518,0.5684158901422266,0.5691176470588235,0.5661764705882353,0.5691176470588235,0.5682119142081811,0.0012711490009412118
0.18387515544891359,0.04148338563453791,0.007229065895080567,0.0004789107232908726,1,10,50,"{'max_depth': 1, 'min_samples_leaf': 10, 'n_estimators': 50}",0.5701754385964912,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5644444444444444,0.5688888888888889,0.5688888888888889,0.5655629139072847,0.003640843752932725,35,0.5694648993618066,0.5665193912616593,0.5665193912616593,0.5667320902845927,0.5682041216879293,0.5693967631191761,0.5718489455615497,0.567156862745098,0.567156862745098,0.5661764705882353,0.5679175798616805,0.0017211628061826818
0.30938129425048827,0.026040154519627344,0.018326735496520995,0.005309546770343272,1,10,100,"{'max_depth': 1, 'min_samples_leaf': 10, 'n_estimators': 100}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5688888888888889,0.5688888888888889,0.5733333333333334,0.5660044150110375,0.0040985418599098515,32,0.5675012272950417,0.5665193912616593,0.5679921453117329,0.5667320902845927,0.5682041216879293,0.5684158901422266,0.5703776360961256,0.5691176470588235,0.5681372549019608,0.567156862745098,0.568015426678519,0.0010905453375265669
0.579535961151123,0.013747375366940625,0.02527611255645752,0.0011354182439988836,1,10,200,"{'max_depth': 1, 'min_samples_leaf': 10, 'n_estimators': 200}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5644444444444444,0.5688888888888889,0.5688888888888889,0.565121412803532,0.003305201790466677,41,0.5675012272950417,0.5665193912616593,0.5679921453117329,0.5672227674190383,0.5682041216879293,0.5679254536537518,0.5698871996076508,0.5676470588235294,0.567156862745098,0.5661764705882353,0.5676232698393668,0.0009692948514024389
1.4407466888427733,0.11602131951943886,0.07749671936035156,0.019617507548943227,1,10,500,"{'max_depth': 1, 'min_samples_leaf': 10, 'n_estimators': 500}",0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5682819383259912,0.5638766519823789,0.5619469026548672,0.5575221238938053,0.5644444444444444,0.5688888888888889,0.5688888888888889,0.565121412803532,0.003305201790466677,41,0.5675012272950417,0.5665193912616593,0.5679921453117329,0.5672227674190383,0.5682041216879293,0.5674350171652771,0.5703776360961256,0.5676470588235294,0.5666666666666667,0.5661764705882353,0.5675742502315236,0.0011168764217554291
